,d1,d2,plane_height,pass_height,cloud_height1,cloud_height2,cloud above plane height1,cloud above plane height1,roll,pitch,pixel height,x_target,pass_number,camera,timestamp,cloud_above_plane_height,pixel_height
101,140.32994653080453,5860.362243069485,5240.1787,5191.106,5262.176078811547,6158.917179459263,,,0.2805412,2.6284435,,375,99,173506,2022-07-23 17:35:05,967.811222428013,542.0
102,2515.522697877649,8215.91849820313,5214.233,5191.106,5170.430922001987,5071.18362191243,,,0.9888306,2.6284435,,380,99,173506,2022-07-23 17:34:48,-119.92233511882023,271.0
103,2655.9491560166834,8355.159054868469,5211.566,5191.106,5172.147423292289,5087.568552397961,,,1.1270176,2.6284435,,380,99,173506,2022-07-23 17:34:47,-103.53740463328904,275.0
104,3501.1736799029736,9193.882703434685,5196.44,5191.106,5092.721376929642,4924.079782650403,,,-2.1911767,2.6284435,,380,99,173506,2022-07-23 17:34:41,-267.0261743808469,252.0
105,3077.978266257653,8773.88597082905,5202.707,5191.106,5208.46749872497,5219.121544073982,,,0.26556957,2.6284435,,380,99,173506,2022-07-23 17:34:44,28.015587042731568,301.0
106,4349.826779158991,10038.291201763443,5188.6294,5191.106,5082.137712923281,4942.872888634078,,,-2.6382253,2.6284435,,380,99,173506,2022-07-23 17:34:35,-248.23306839717225,260.0
107,4773.85226131966,10460.958931091409,5186.0005,5191.106,5517.108735845145,5911.562838833035,,,-1.1311355,2.6284435,,380,99,173506,2022-07-23 17:34:32,720.4568818017851,406.0
108,3359.984740535242,9053.72149113104,5198.764,5191.106,5157.53815594541,5087.6740279705045,,,-1.4690137,2.6284435,,380,99,173506,2022-07-23 17:34:42,-103.43192906074546,279.0
109,1396.8332522368162,7106.571922976665,5234.273,5191.106,5328.459809936616,5713.474606057882,,,2.4201026,2.6284435,,378,99,173506,2022-07-23 17:34:56,522.3686490266318,403.0
110,2937.1777657693424,8634.145085501514,5206.022,5191.106,5143.556817239723,5022.386920367346,,,0.89830935,2.6284435,,380,99,173506,2022-07-23 17:34:45,-168.71903666390426,265.0
111,420.2731633023087,6137.96476955379,5239.874,5191.106,5290.6361939914395,5981.207325614533,,,1.1643062,2.6284435,,253,99,173506,2022-07-23 17:35:03,790.1013685832831,486.0
112,0.01705933770126533,5721.2580258186445,5239.0737,5191.106,5239.073619839362,6187.489688251224,,,0.2583577,2.6284435,,397,99,173506,2022-07-23 17:35:06,996.3837312199739,556.0
113,5620.7735236749895,11305.754884079954,5188.3057,5191.106,5061.539752022426,4933.32083584677,,,0.09178159,2.6284435,,380,99,173506,2022-07-23 17:34:26,-257.78512118448,263.0
114,3925.395179576378,9615.55742778266,5191.144,5191.106,5084.952077945735,4931.015504645852,,,-5.0428786,2.6284435,,380,99,173506,2022-07-23 17:34:38,-260.09045238539784,256.0
115,4066.8913202532085,9756.392070050118,5189.4673,5191.106,5102.969757093792,4981.968602463597,,,-4.7398753,2.6284435,,380,99,173506,2022-07-23 17:34:37,-209.13735456765335,265.0
116,2796.7408801977,8494.823051224845,5209.2417,5191.106,5153.35164986864,5039.495637022638,,,0.9813423,2.6284435,,389,99,173506,2022-07-23 17:34:46,-151.61032000861178,267.0
117,1815.7362922990092,7521.957792223793,5227.9297,5191.106,5292.012897957574,5493.4025379741925,,,2.397199,2.6284435,,380,99,173506,2022-07-23 17:34:53,302.29658094294246,353.0
118,4914.938994393802,10601.676915008298,5185.7334,5191.106,5229.681333094532,5280.517509711128,,,-0.5983469,2.6284435,,380,99,173506,2022-07-23 17:34:31,89.41155267987779,312.0
119,3218.79976260547,8913.595125584916,5201.545,5191.106,5188.945516171943,5166.657135126644,,,-0.6975094,2.6284435,,380,99,173506,2022-07-23 17:34:43,-24.44882190460612,292.0
120,1536.4613679754038,7245.01661133474,5232.1777,5191.106,5414.784103069386,6093.25273467239,,,1.7501316,2.6284435,,380,99,173506,2022-07-23 17:34:55,902.14677764114,483.0
121,4490.928322665845,10178.914643046955,5187.696,5191.106,5181.664754914856,5174.025735896507,,,-1.8669986,2.6284435,,387,99,173506,2022-07-23 17:34:34,-17.080221134742715,296.0
122,2095.044523640468,7798.9102985099835,5222.9385,5191.106,5397.868530782335,5874.143786331664,,,1.4830436,2.6284435,,380,99,173506,2022-07-23 17:34:51,683.0378293004142,428.0
123,3574.3402760665035,12132.785968995753,6193.441,6194.8887,6975.151497482289,8846.906184136451,,,23.36493,5.905628,,263,115,ffc,2022-07-23 18:46:00,2652.017512261451,556.0
124,146.76342702942225,8726.666446267453,6183.9155,6194.8887,6209.944980691178,7731.523012066817,,,1.899838,5.905628,,261,115,ffc,2022-07-23 18:46:24,1536.6343401918166,490.0
125,2604.40014630075,11180.274334780182,6205.4233,6194.8887,6771.745607570524,8636.561147246579,,,20.248951,5.905628,,380,115,ffc,2022-07-23 18:46:07,2441.672475371579,554.0
