,flight_id,start_index,start_datetime,end_index,end_datetime,npasses,passes_start_index,passes_end_index,start_lon,start_lat,end_lon,end_lat,alt_pre,pressalt_pre,press_pre,alt,pressalt,press,alt_post,pressalt_post,press_post,nondT_pre,deicedT_pre,nondT_pre_n,deicedT_pre_n,nondT_pre_err,deicedT_pre_err,nondT_post,deicedT_post,nondT_post_n,deicedT_post_n,nondT_post_err,deicedT_post_err
53,c299,19168,2022-07-20 19:33:30,19186,2022-07-20 19:33:48,1.0,[19168],[19186],-107.17787,33.842,-107.14733,33.83354,8820.196,8215.514,345.03836,8833.328,8227.866,344.41827,8830.666,8224.3125,344.59924,249.5227,249.9991,15,15,0.010255694227516793,0.008611100859436357,249.17436,249.64034,15,15,0.009972767168038521,0.009991199402728952
54,c299,19547,2022-07-20 19:39:49,19552,2022-07-20 19:39:54,1.0,[19547],[19552],-107.18933,34.20139,-107.19559,34.196976,6309.888,5864.421,480.65265,6239.446,5798.096,485.01953,6165.491,5727.433,489.66208,265.45908,265.77216,15,15,0.05832157585157401,0.05873983358432917,266.34207,266.7825,15,15,0.051359787273926344,0.04971286907616127
55,c299,19622,2022-07-20 19:41:04,19768,2022-07-20 19:43:30,4.0,[19622 19645 19684 19763],[19628 19676 19720 19768],-107.24855,34.11711,-107.264336,33.918877,5684.349,5278.6436,520.3853,5685.923,5283.4604,520.04785,6093.901,5666.931,493.76135,270.36353,270.51263,15,15,0.07411967943712756,0.08555731053562818,266.76205,267.66135,12,12,0.01012841016557877,0.019722945109701
56,c299,19990,2022-07-20 19:47:12,20048,2022-07-20 19:48:10,2.0,[19990 20025],[20008 20048],-107.27652,33.99418,-107.25446,34.07108,6964.483,6478.9033,441.64053,6962.576,6477.419,441.7316,6969.973,6483.315,441.37775,261.10742,261.479,15,15,0.04022024608767549,0.034502796387888245,260.984,261.64883,15,15,0.058998383116489465,0.05868678476067699
57,c299,20204,2022-07-20 19:50:46,20284,2022-07-20 19:52:06,2.0,[20204 20231],[20210 20284],-107.09255,34.21093,-106.98431,34.261303,6255.63,5819.549,483.6063,6187.523,5756.3193,487.78976,5475.118,5088.442,533.8595,265.8921,266.20398,15,15,0.07553372992010095,0.07178541577253354,271.11627,271.1457,15,15,0.08500450701210449,0.08965476658565716
58,c299,20563,2022-07-20 19:56:45,20658,2022-07-20 19:58:20,3.0,[20563 20613 20656],[20565 20615 20658],-106.81897,34.53943,-106.81842,34.64977,4390.5513,4081.2656,609.90485,4334.7563,4029.6274,614.0262,3627.7234,3379.5317,667.9163,280.4328,280.74185,15,15,0.08854842852058731,0.08561325265166404,287.70465,287.9819,15,15,0.10599825193807463,0.08316683543256893
59,c299,20795,2022-07-20 20:00:37,20847,2022-07-20 20:01:29,2.0,[20795 20804],[20797 20847],-106.81118,34.804337,-106.76177,34.843636,3506.056,3274.742,676.9349,3504.52,3272.752,677.1075,3220.6865,3010.7483,700.1326,288.7066,289.3882,15,15,0.025640068544591277,0.020672018123083086,291.41083,291.52728,15,15,0.11584928152059107,0.09858288206733307
60,c300,13283,2022-07-22 17:21:56,13290,2022-07-22 17:22:03,1.0,[13283],[13290],-107.19895,33.980427,-107.20105,33.98854,4625.052,4326.2686,590.64124,4641.364,4344.0474,589.2624,4631.3706,4331.106,590.1898,278.00775,278.72928,15,15,0.06401439793893034,0.04551918796959464,277.8136,278.26447,15,15,0.040712105792904255,0.03317880347782076
61,c300,13467,2022-07-22 17:25:00,13481,2022-07-22 17:25:14,1.0,[13467],[13481],-107.18318,33.99029,-107.19237,33.97437,4776.394,4464.1616,580.01855,4773.1665,4461.3765,580.23145,4769.915,4458.512,580.49457,276.4447,277.0521,15,15,0.04905562616200527,0.04213095406258305,276.9084,277.09357,15,15,0.017364956072541016,0.05702538471114032
62,c300,13657,2022-07-22 17:28:10,13672,2022-07-22 17:28:25,1.0,[13657],[13672],-107.18986,33.9705,-107.19407,33.990284,4946.1646,4619.2056,568.26056,4942.7437,4612.1763,568.7892,4934.2607,4606.946,569.224,275.31458,275.7657,15,15,0.020514541451188428,0.005060180334321227,275.4501,275.938,15,15,0.02558611171960592,0.05660550719634588
63,c300,13841,2022-07-22 17:31:14,13850,2022-07-22 17:31:23,1.0,[13841],[13850],-107.197464,33.986164,-107.20509,33.976044,5323.157,4972.727,542.1711,5310.304,4961.42,542.99,5330.362,4976.663,541.87103,272.14566,272.6679,15,15,0.04418384504286239,0.015918202151719983,272.27026,272.77783,15,15,0.034820342921925714,0.03672616846593578
64,c300,14272,2022-07-22 17:38:25,14292,2022-07-22 17:38:45,1.0,[14272],[14292],-107.19392,33.99145,-107.19059,33.964622,5860.349,5475.6504,506.73483,5861.6245,5474.208,506.83374,5868.0903,5476.8145,506.7589,268.61285,269.1464,15,15,0.006438659576507453,0.02036158362491166,268.43884,268.74277,15,15,0.01919496158149874,0.013462760707510558
65,c300,14476,2022-07-22 17:41:49,14494,2022-07-22 17:42:07,1.0,[14476],[14494],-107.21086,33.965107,-107.20091,33.987404,6711.9136,6271.6235,454.5011,6697.1694,6257.315,455.39957,6692.413,6249.439,455.93063,262.03836,262.72528,15,15,0.029152308116726273,0.01296205856980728,262.2538,262.6774,15,15,0.020790737373664995,0.02585407407067143
66,c300,14708,2022-07-22 17:45:41,14729,2022-07-22 17:46:02,1.0,[14708],[14729],-107.20633,33.989693,-107.21138,33.961807,7008.769,6553.7324,437.0712,7015.936,6557.086,436.86725,7005.227,6545.8555,437.55872,261.50732,262.46704,13,13,0.0439946735631407,0.0402903649372427,260.6203,261.31473,15,15,0.06191498343271526,0.05512714636471091
67,c300,14934,2022-07-22 17:49:27,14956,2022-07-22 17:49:49,1.0,[14934],[14956],-107.19548,33.963196,-107.21549,33.989548,7036.1245,6569.7754,436.0964,7038.88,6571.507,435.99136,6991.0674,6528.9272,438.68024,261.2269,261.9623,15,15,0.034400365373086106,0.03643707777028904,261.13858,261.6096,15,15,0.09507705814021113,0.08781633320839294
68,c300,15233,2022-07-22 17:54:26,15330,2022-07-22 17:56:03,3.0,[15233 15307 15328],[15249 15309 15330],-107.21912,33.98097,-107.12834,33.867584,7623.4424,7117.641,403.85205,7619.037,7113.5366,404.08618,7609.591,7104.871,404.57526,258.17447,258.85495,15,15,0.009943186908505316,0.011047061635212588,,,0,0,,
69,c300,15580,2022-07-22 18:00:13,15590,2022-07-22 18:00:23,1.0,[15580],[15590],-107.218956,33.967785,-107.23098,33.97798,7676.1997,7167.7837,401.0008,7648.1626,7144.283,402.3347,7675.9224,7166.0605,401.07507,257.93073,258.6094,15,15,0.08987594955447906,0.06252718024683357,256.9968,257.5611,15,15,0.031074537320414392,0.08205508783413275
70,c300,15875,2022-07-22 18:05:08,15882,2022-07-22 18:05:15,1.0,[15875],[15882],-107.21927,33.970406,-107.209724,33.963352,7604.838,7095.093,405.14157,7561.9873,7055.415,407.41397,7496.5425,6997.9062,410.84027,258.2138,258.65775,15,15,0.062320202112427385,0.06070659909917088,259.5631,260.00885,15,15,0.0757882934803071,0.03716332878576688
